Time,Lat,Long
2024-03-13 09:32:19.232341,33.812609333333334,-84.16121316666667
2024-03-13 09:32:20.241303,33.812609333333334,-84.16121166666667
2024-03-13 09:32:21.231517,33.8126085,-84.16121033333333
2024-03-13 09:32:22.242087,33.8126075,-84.161201
2024-03-13 09:32:23.231868,33.812607166666666,-84.161189
2024-03-13 09:32:24.240963,33.81260566666667,-84.16117566666667
2024-03-13 09:32:25.231536,33.812605833333336,-84.16116316666667
2024-03-13 09:32:26.248015,33.812606,-84.16115233333333
2024-03-13 09:32:27.231352,33.81260616666667,-84.161143
2024-03-13 09:32:28.239691,33.812607,-84.161139
2024-03-13 09:32:29.230764,33.81260566666667,-84.161135
2024-03-13 09:32:30.231238,33.812604666666665,-84.16113166666666
2024-03-13 09:32:31.230664,33.81260316666667,-84.1611305
2024-03-13 09:32:32.229306,33.81260116666667,-84.16112966666667
2024-03-13 09:32:33.230487,33.81259816666667,-84.16113416666667
2024-03-13 09:32:34.229538,33.812596666666664,-84.161135
2024-03-13 09:32:35.229302,33.812597333333336,-84.16113633333333
2024-03-13 09:32:36.231443,33.812598,-84.16113733333333
2024-03-13 09:32:37.229598,33.812597833333335,-84.16113766666666
2024-03-13 09:32:38.229239,33.812598,-84.16113816666666
2024-03-13 09:32:39.227577,33.8125975,-84.161139
2024-03-13 09:32:40.228017,33.8125975,-84.16113983333334
2024-03-13 09:32:41.224057,33.812597,-84.16114083333333
2024-03-13 09:32:42.232227,33.81259633333333,-84.16114166666667
2024-03-13 09:32:43.228262,33.81259516666667,-84.1611425
2024-03-13 09:32:44.228136,33.81259416666666,-84.16114283333333
2024-03-13 09:32:45.226421,33.81259283333333,-84.161143
2024-03-13 09:32:46.226549,33.8125915,-84.16114366666666
2024-03-13 09:32:47.226101,33.812590666666665,-84.16114366666666
2024-03-13 09:32:48.225598,33.812590666666665,-84.16114333333333
2024-03-13 09:32:49.226357,33.81259033333333,-84.16114283333333
2024-03-13 09:32:50.227591,33.81259033333333,-84.16114183333333
2024-03-13 09:32:51.225944,33.812590166666666,-84.16114083333333
2024-03-13 09:32:52.224439,33.812590166666666,-84.16113983333334
2024-03-13 09:32:53.225246,33.81259,-84.1611395
2024-03-13 09:32:54.223464,33.81258966666667,-84.16113933333334
2024-03-13 09:32:55.226101,33.81258966666667,-84.16113933333334
2024-03-13 09:32:56.224355,33.8125895,-84.16113933333334
2024-03-13 09:32:57.225039,33.81258916666667,-84.16113983333334
2024-03-13 09:32:58.224583,33.812588833333336,-84.16114016666667
2024-03-13 09:32:59.225293,33.81258833333333,-84.16114083333333
2024-03-13 09:33:00.224584,33.812587666666666,-84.16114133333333
2024-03-13 09:33:01.224825,33.812587,-84.16114183333333
2024-03-13 09:33:02.224989,33.81258616666667,-84.16114266666666
2024-03-13 09:33:03.227815,33.81258566666666,-84.16114333333333
2024-03-13 09:33:04.225440,33.81258566666666,-84.16114366666666
2024-03-13 09:33:05.224900,33.8125855,-84.16114433333334
2024-03-13 09:33:06.227017,33.81258566666666,-84.16114516666667
2024-03-13 09:33:07.223284,33.81258583333333,-84.16114583333334
2024-03-13 09:33:08.224255,33.812586,-84.16114633333333
2024-03-13 09:33:09.224484,33.81258666666667,-84.161147
2024-03-13 09:33:10.225565,33.812586833333334,-84.16114783333333
2024-03-13 09:33:11.229688,33.81258733333333,-84.16114833333333
2024-03-13 09:33:12.223843,33.812588,-84.16114883333333
2024-03-13 09:33:13.225212,33.812589,-84.16114933333333
2024-03-13 09:33:14.223874,33.812590166666666,-84.16114933333333
2024-03-13 09:33:15.222787,33.812591,-84.16114933333333
2024-03-13 09:33:16.224342,33.812592333333335,-84.16114966666666
